"influences";"influenced"
"Monica Furlon";"Alan W"
"Muhammad ibn Zakariya al-Raz";"Ali ibn Sahl Rabban al-T"
"Nader El-Biz";"Alexandre Koyré"
"Chris Bobon";"Alan C"
"John M";"Alexander von Humbol"
"John R. Mey";"Alexander Gerschenkron"
"John Scott, 1st Earl of Eldon";"Charles Hutton"
"John Searl";"Ludwig Wittgenstein"
"John Searl";"Gilbert Ryl"
"John Stuart Mill";"Alexander Bain"
"John Stuart Mill";"Charles B"
"Jon F";"Ludwig Wittgenstein"
"Jonathan Bowen";"Dines Bjørn"
"Jonathan Homer Lan";"Charles Grafton P"
"Joseph-Louis Lagran";"Gottfried Wilhelm Leibniz"
"Joseph Augustine Di N";"Charles Taylor (philosopher)"
"Joseph Dalton Hook";"Charles Darwin"
"Joseph Dalton Hook";"Charles Lyell"
"Joseph Déjacq";"Charles F"
"Joseph P";"Guillaume-François Rouell"
"Joseph Schum";"Léon Wal"
"Joseph Stalin";"Alexander Herzen"
"Jovan Cvijić";"Albrecht Penck"
"Juan José Aréval";"Alejandro Korn"
"Judith Butl";"Luce Irigaray"
"Jules Vuillemin";"Alfred North W"
"Julia Kristev";"Lucien Goldmann"
"Julius Büdel";"Albrecht Penck"
"Julius Evol";"Léon de Poncin"
"Julius Evol";"Johann Jakob Bachofen"
"Jürgen Haberm";"Ludwig Binswan"
"Masao A";"Kitaro N"
"Masatoshi K";"Hirotaka Sugaw"
"Maurice All";"Léon Wal"
"Maurice Blondel";"Maine de Biran"
"Maurice Blondel";"Gottfried Wilhelm Leibniz"
"Maurice Maeterlinck";"John of Ruusbroec  John of Ruusbroec  1"
"Maurice Merleau-Ponty";"Alexandre Kojèv"
"Maurice Merleau-Ponty";"Alfred North W"
"Max Stirn";"Ludwig F"
"Maxie Clarence Maultsby J";"Alexander L"
"Meher B";"Upasni Maharaj"
"Meher B";"Hazrat Babajan"
"Meyer F";"Alfred Radcliffe-Brown"
"Michael Dumm";"Gilbert Ryl"
"Michael Dumm";"Donald Davidson (philosopher)"
"Michael Dumm";"Gottlob F"
"Michael Friedlän";"Maimon"
"Hugolino of Orv";"Gregory of Rimin"
"Manfred Frank";"Dieter Hen"
"Mao Zedon";"Alexander Herzen"
"Marcel M";"Denise Paulm"
"Margaret T";"Ralph Harris, Baron Harris of High C"
"Margaret T";"Alan Wal"
"Maria da Conceição Tav";"Celso F"
"Mark Stuart Edw";"Charles Taylor (philosopher)"
"Marsilio Ficin";"Procl"
"Marsilio Ficin";"John Argyropoul"
"Martin B";"Ludwig F"
"Martin B";"Maimon"
"Martin H";"Gottfried Wilhelm Leibniz"
"Thomas Aquin";"Maimon"
"Thomas Henry Huxley";"Charles Darwin"
"Thomas Henry Huxley";"Charles Lyell"
