"influences";"influenced"
"Michel Valsan";"René Guénon"
"Martin of B";"Seneca the Youn"
"Michael Oak";"J. M. E. McT"
"Michael Sherm";"Richard Dawkin"
"Michael Williams (philosopher)";"Richard Rorty"
"Michel Aflaq";"Antoun S"
"Michel Aflaq";"Oswald Spengl"
"Michel de Montaign";"Seneca the Youn"
"Milton Friedman";"Irving F"
"Mircea El";"René Guénon"
"Mohammed Ridha Al-S";"Antarah ibn S"
"Carlo Michel";"Arthur Schopen"
"Rudolf Carn";"Immanuel Kan"
"Rudy Giulian";"James Q. Wilson"
"Ruth Barcan M";"Arthur P"
"Sal";"Antarah ibn S"
"Salimuzzaman Siddiq";"Atta-ur-Rahman (chemist)"
"Salomon Maimon";"Immanuel Kan"
"Salvador Dalí";"Antonio Lopez (illustrator)"
"Samuel Beck";"Arthur Schopen"
"Catherine Mal";"Jacques D"
"Isabelle Sten";"Ilya Prigogin"
"John O'Neill (philosopher)";"Otto N"
"Livy";"Posidon"
"Panagiotis Kondyl";"Reinhart Koselleck"
"Peter Ludlow";"James Higginbotham"
"Gabriel T";"Antoine Augustin Courn"
"Johannes Schmidt (linguist)";"August Schl"
"Vasily Leonidovitch Omeliansk";"Sergei Winogradsky"
"Slavoj Žižek";"Jacques Lacan"
"S";"Anax"
"S";"Archelaus (philosopher)"
"Randal Marlin";"Jacques Ellul"
"Duncan Black";"Anthony Down"
"Edmund Husserl";"René D"
"Edmund Lan";"Arthur Wief"
"Edward Abramowsk";"Augustyn Wróblewsk"
"Edward FitzGerald (poet)";"Omar Khayyam"
"Francis Focer Brown";"J. Ottis Adam"
"Francis Parker Yockey";"Oswald Spengl"
"Franciscus Sylv";"Jan Baptist van Helmon"
"Franco Modiglian";"Irving F"
"Franz Kafk";"Otto G"
"Frederic Harrison";"Auguste Com"
"Friedrich Eduard Benek";"Immanuel Kan"
"Friedrich Nietz";"Jacob Burck"
"Friedrich Nietz";"Arthur Schopen"
"Friedrich Nietz";"Auguste Com"
"Friedrich Nietz";"Ralph Waldo Emerson"
"Friedrich Schlegel";"Immanuel Kan"
"Friedrich Schleierm";"Immanuel Kan"
"Friedrich Wilhelm Joseph Schellin";"Immanuel Kan"
"Friedrich Wilhelm Joseph Schellin";"Jakob Böhm"
"Frithjof Schuon";"René Guénon"
"Fritz Perl";"Jacob L. Moren"
"Félix G";"Ilya Prigogin"
"G. E. M";"James Ward (psychologist)"
"Gabriel Kolk";"Arno J. May"
"Gutzon Borglum";"Anna Hyatt Huntington"
"Guy D";"Antonie Pannekoek"
"H. P. Lovecraf";"Oswald Spengl"
"Ha-Joon Chan";"Amartya Sen"
"Hafez al-A";"Antoun S"
"Hal Abelson";"Richard Greenblatt (programmer)"
"Hans Hunzik";"Auguste Forel"
"Hans Urs von Bal";"Origen"
"Hans Vaihin";"Arthur Schopen"
"Harold Bloom";"Ralph Waldo Emerson"
"Harriet Martin";"Auguste Com"
"Harvey Cushin";"Arnold Kl"
"Hossein N";"René Guénon"
"Huston Sm";"René Guénon"
"Hyman Minsky";"Irving F"
"Ibn al-Sal";"Ibn Dihya al-Kalby"
"Ignaz Semmelw";"Jakob Kolletschk"
"Ilya Repin";"Ivan Kramsk"
"Immanuel Kan";"René D"
"Isaac Newton";"Isaac Barrow"
"Isaac Newton";"René D"
"Isaac Todhun";"Augustus De Morgan"
"Isaac Witkin";"Anthony C"
"Ivan Ill";"Jacques Ellul"
"Ivan Ill";"Jacques Maritain"
"Ivan Pavlov";"Ivan Sechenov"
"Ivan Pavlov";"Jacob Mol"
"Iván Wernin";"James Mirrl"
"J. C. Leyendeck";"Antonio Lopez (illustrator)"
"J. Michael Bailey";"Ray Blan"
"J. P. Morelan";"Alvin Plantin"
"Jack Amarigl";"Richard D. Wolff"
"Jack Goody";"James George Fraz"
"Jacques-Alain Mill";"Jacques Lacan"
"Jacques-Bénigne B";"Antoine Arnaul"
"Jacques-Bénigne B";"René D"
"Jacques Pariz";"James M"
"Jakob Sigismund Beck";"Immanuel Kan"
"James Alison";"René G"
"James Can";"Ray Blan"
"James Franck";"Arthur R. von Hippel"
"James Hansen";"James Van Allen"
"James Joy";"Otto Weinin"
"James Tobin";"Irving F"
"James Tobin";"Alvin Hansen"
"Jan Tinbergen";"Oskar R. Lan"
"Jane Addam";"Richard R. Wright J"
"Saw Maung (painter)";"Saya Ay"
"Saya Ay";"Saya Chon"
"Saya My";"Saya Chon"
"Scott Sumn";"Irving F"
"Selman Waksman";"Sergei Winogradsky"
"Seneca the Youn";"Posidon"
"Seraphim R";"René Guénon"
"Amadeo B";"Antonio Labriol"
"Ananda Coomaraswamy";"René Guénon"
"Anatoly Lunacharsky";"Richard Aven"
"Anaximenes of Mil";"Anaximan"
"Anaïs Nin";"Otto Rank"
"Andrew F. R";"Richard Dawkin"
"Andrew Weil";"Richard Evans Schul"
"Andrzej Trybul";"Andrzej Grzegorczyk"
"André Gorz";"Ivan Ill"
"Anne Lawren";"Ray Blan"
"Anthony Ludov";"Arthur Schopen"
"Antoine Arnaul";"René D"
"Antoine Augustin Courn";"Nicolas-François Can"
"Antonio Gram";"Antonio Labriol"
"Antonio Gram";"Renzo Nov"
"Archelaus (philosopher)";"Anax"
"Arda Denkel";"P. F. Strawson"
"Arnold J. Toyn";"Oswald Spengl"
"Arthur C. Brook";"James Q. Wilson"
"Arthur Schopen";"Immanuel Kan"
"Arthur Schopen";"Jakob Böhm"
"Arthur Seldon";"Arnold Plan"
"Asra Noman";"Amina W"
"Athanasius of Alexan";"Origen"
"August Kun";"Richard Adolf Zsigmondy"
"August Leskien";"August Schl"
"August Strin";"Otto Weinin"
"Augustine of H";"Seneca the Youn"
"Augusto dos Anj";"Arthur Schopen"
"Aung Myin";"Aung S"
"Austan Gool";"James M. P"
"Oskar Morgenstern";"Othmar Spann"
"Oswald Spengl";"Arthur Schopen"
"Othniel Charles M";"James Dwight Dan"
"Otto Fritz Meyerhof";"Jakob Friedrich F"
"Otto Rank";"Arthur Schopen"
"Otto Weinin";"Arthur Schopen"
"Béatrice Galinon-Mélén";"Jacques D"
"Ramaprasad Chan";"Sarasi Kumar Sarasw"
"Raphael Weldon";"Ray Lank"
"Raymund Schw";"René G"
"Rembran";"Jan Lieven"
"Richard Adolf Zsigmondy";"August Kun"
"Richard Couran";"Arthur R. von Hippel"
"Richard Deacon (sculptor)";"Anthony C"
"Richard Harries, Baron Harries of Pen";"Richard Dawkin"
"Richard James Lan";"James Rannie Swinton"
"Richard L. Hoffman";"C. A. W. Jeekel"
"Richard N. Fry";"Arthur Upham P"
"Richard P";"Richard Doll"
"Richard Posn";"Richard Rorty"
"Richard Rorty";"Jacques D"
"Richard Ston";"James M"
"Herbert James Paton";"John Alexander Sm"
"Reza Negarestan";"Ray B"
"Marcel Cohen";"Antoine Meill"
"Muqbil bin Hadi al-Wadi'";"Ibn Abi Asim"
"A. C. Graylin";"Richard Dawkin"
"Abba P. Lern";"Oskar R. Lan"
"Abd al-Wahhab Al-Bay";"Antarah ibn S"
"Afanasy F";"Arthur Schopen"
"Al-Khazin";"Omar Khayyam"
"Alan Grafen";"Richard Dawkin"
"Torkel Weis-F";"August K"
"Tyler Cowen";"James M. Buchanan"
"Edward Pramuk";"James Brooks (painter)"
"Tim Scott (artist)";"Anthony C"
"Éric Laurent (psychoanalyst)";"Jacques Lacan"
"Leonard Nelson";"Jakob Friedrich F"
"Brian Davies (philosopher)";"Alvin Plantin"
"Bronisław Malinowsk";"James George Fraz"
"Adolf Meyer (psychiatrist)";"Auguste Forel"
"Cornelius C";"Jacques Ellul"
"Cyprian Norw";"August Cieszkowsk"
"Ali Ramitan";"Mahmood Anjir-Faghnaw"
"Alice D";"J. Michael Bailey"
"Alice D";"Ray Blan"
"Allan G";"Richard Bran"
"Kurt Lewin";"Jacob L. Moren"
"L. E. J. Brouw";"Arthur Schopen"
"Langdon Winn";"Jacques Ellul"
"Dean Zimmerman";"Jaegwon Kim"
"Joshua Kn";"P. F. Strawson"
"Peter Railton";"Richard Bran"
"Richard Joyce (philosopher)";"J. L. Mack"
"Max Cresswell";"Arthur P"
"D. H. Lawren";"Otto G"
"Dallas Will";"Alvin Plantin"
"Damien H";"John LeKay"
"Daniel Denn";"Richard Dawkin"
"Daniel Goleman";"Richard Evans Schul"
"Dante Al";"Seneca the Youn"
"David C";"Arthur Dan"
"David Cutl";"James M. P"
"David D";"Richard Dawkin"
"David Foster Wall";"Richard Taylor (philosopher)"
"David Hil";"Arthur R. von Hippel"
"David Hockney";"Antonio Lopez (illustrator)"
"David J. F";"Richard Hammin"
"David Lan";"Jayantanuja Bandyopadhyay"
"David Lewis (philosopher)";"J. J. C. Sm"
"David Lewis (philosopher)";"P. F. Strawson"
"David Vin";"James M"
"Debabrata B";"Oscar Kempthorn"
"Patricia Vinnicom";"Raymond D"
"Paul B";"James Braid (surgeon)"
"Paul Feyeraben";"Imre Lak"
"Paul Guy";"Immanuel Kan"
"Paul Krugman";"James M"
"Paul Krugman";"Arthur Cecil P"
"Paul Mattick";"Antonie Pannekoek"
"Paul Nitz";"Oswald Spengl"
"Paul Renn";"Jakob E"
"Paul Samuelson";"James Tobin"
"Paul Samuelson";"Alvin Hansen"
"Paul Viril";"Jacques Ellul"
"Paul Volck";"Arthur Cecil P"
"Paul de Man";"Jacques D"
"Pericl";"Anax"
"Pete B";"Alyssa A. Goodman"
"Peter Anthony Lawren";"Anne Warner (scientist)"
"Peter Deby";"Arthur R. von Hippel"
"Peter H";"Anthony C"
"Peter Rollin";"Jacques D"
"Peter Sloterdijk";"Jacob T"
"Peter Thiel";"René G"
"Peter Wessel Zapff";"Arthur Schopen"
"Peter van Inwagen";"Alvin Plantin"
"Robert B. Westbrook (historian)";"Richard J. Bernstein"
"Robert Barron";"René G"
"Robert Boyl";"Otto von Guerick"
"Robert Brandom";"Richard Rorty"
"Robert Solow";"Alvin Hansen"
"Robin Hahnel";"Amartya Sen"
"Robin Hahnel";"Oskar R. Lan"
"Robley C. William";"Ralph Walter Graystone Wyckoff"
"Rodney Graham";"Ingrid Bax"
"Roger A. Sheldon";"Jay K"
"Roger J-B W";"Jacques Drèz"
"Roger Y. Tsien";"Anne Warner (scientist)"
"Rollo May";"Otto Rank"
"Rom Harré";"J. L. Austin"
"Roman Jakobson";"Anton Marty"
"Romina Goldszm";"Ralph M. Steinman"
"Ronald C";"Arnold Plan"
"Ross Nichol";"James George Fraz"
"Roy Lichtenstein";"Antonio Lopez (illustrator)"
"Severino Di Giovann";"Renzo Nov"
"Seyla Ben";"Iris Marion Youn"
"Seyla Ben";"Richard J. Bernstein"
"Sigmund F";"Arthur Schopen"
"Sigmund F";"Auguste Com"
"Sigmund F";"Otto Rank"
"Sigmund F";"Ralph Waldo Emerson"
"Simon Critchley";"Richard J. Bernstein"
"Sándor Ferencz";"Otto Rank"
"T. S. El";"James George Fraz"
"Ted Hon";"P. F. Strawson"
"Ted Kaczynsk";"Jacques Ellul"
"Vladimir Bekhterev";"Ivan Sechenov"
"Vladimir Nikolayevich Myasishchev";"Ivan Sechenov"
"Vladimir Solovyov (philosopher)";"Arthur Schopen"
"Wade Davis (anthropologist)";"Richard Evans Schul"
"Walt Disney";"Louis Grell"
"Walt Whitman";"Ralph Waldo Emerson"
"Gregory of Nazianz";"Origen"
"Meredith Chiv";"J. Michael Bailey"
"Esther Dufl";"Amartya Sen"
"Ettore Majoran";"Arthur Schopen"
"Eugen Bleul";"Auguste Forel"
"Eugene L. Gran";"John Charles Lounsbury F"
"Ferdinand S";"Jan Mikulicz-Radeck"
"Ferdinand de S";"August Leskien"
"Fikri Alican";"James Hardy (surgeon)"
"Nancy Cartwright (philosopher)";"Arthur Fin"
"Nancy Fol";"Amartya Sen"
"Nancy F";"Richard J. Bernstein"
"Nasir al-Din al-T";"Omar Khayyam"
"Neil S";"James Durbin"
"Nicholas R";"Arkhip Kuindz"
"Nicolas Malebran";"Antoine Arnaul"
"Nicolas Malebran";"René D"
"Philip P";"Amartya Sen"
"Philip Pullman";"Richard Dawkin"
"Philipp Mainlän";"Arthur Schopen"
"Philippa F";"Iris M"
"Philippe Lacoue-L";"Jacques D"
"Pierre B";"P. F. Strawson"
"Pierre B";"Raymond Aron"
"Pope Benedict XVI";"Origen"
"Pope Dionysius of Alexan";"Origen"
"Prasanta Pattanaik";"Amartya Sen"
"Stanislav Grof";"Otto Rank"
"Stanley Cavell";"J. L. Austin"
"Stella Kram";"Sarasi Kumar Sarasw"
"Stephen Jay Goul";"Isaiah Berlin"
"Steve Bannon";"René Guénon"
"Steve Keen";"Irving F"
"Steven Pink";"Richard Dawkin"
"S";"Posidon"
"S";"Artemidorus E"
"Stuart Hall (cultural theorist)";"Antonio Gram"
"Werner G. K";"James Heckman"
"Wilhelm R";"Otto G"
"William Bratton";"James Q. Wilson"
"William Galston";"Isaiah Berlin"
"William Healey Dall";"Augustus Addison Goul"
"William Henry Harvey";"Amelia Griff"
"William Henry Perkin";"August Wilhelm von Hofmann"
"William Jam";"Ralph Waldo Emerson"
"William Jam";"Richard Aven"
"William Lane C";"Alvin Plantin"
"William S. B";"Richard Evans Schul"
"William Stringfellow";"Jacques Ellul"
"Hugo G";"Jean Bodin"
"Edward S";"Antonio Gram"
"E";"Aristocles of Messen"
"Everett Reim";"Ivan Ill"
"Ibn al-F";"Ibn A"
"Douglas G. McMahon";"John E. Dowlin"
"Douglas H. Turn";"Ignacio Tinoco J"
"Marek Kohn";"Richard Dawkin"
"Edward H";"Antonio Lopez (illustrator)"
"Edward S. Casey";"Richard J. Bernstein"
"Edward Shil";"Raymond Aron"
"Edward Spencer Beesly";"Auguste Com"
"Egon Schiel";"Antonio Lopez (illustrator)"
"Eileen K";"Isaac S"
"Elinor Ostrom";"James M. Buchanan"
"Emil Cioran";"Arthur Schopen"
"Emmanuel Moun";"Jacques Maritain"
"Erasm";"Origen"
"Eric Voegelin";"Jean Bodin"
"Eric Voegelin";"Othmar Spann"
"Erich T";"Richard S"
"Ernest Beck";"Otto Rank"
"Ernesto Lacl";"Antonio Gram"
"Ernst Jün";"Oswald Spengl"
"Ernst M";"Richard Aven"
"Errol H";"John Alexander Sm"
"Erwin Schrödin";"Arthur Schopen"
"Helen Berman";"Jan G"
"Henri Bergson";"Arthur Schopen"
"Henry Corbin";"Ibn A"
"Henry David T";"Ralph Waldo Emerson"
"Henry Kissin";"Oswald Spengl"
"Henry Kissin";"Raymond Aron"
"Henry Mill";"Oswald Spengl"
"Henry Mill";"Otto Rank"
"Henry Norris Russell";"Arthur Robert Hink"
"Henry Thomas Ryall";"James Rannie Swinton"
"Henry VIII";"Jan H"
"Herbert Spen";"Auguste Com"
"Hermann Grapow";"Pahor L"
"Hermann Lotz";"Jakob Friedrich F"
"Hermann Ul";"Immanuel Hermann F"
"Hermon Atkins MacNeil";"Anna Hyatt Huntington"
"Monica Riley";"Arthur P"
"Montesq";"Jean Bodin"
"Moritz Schlick";"Arthur Schopen"
"Mortimer J. Adl";"Jacques Maritain"
"Mortimer Wheel";"Augustus Pitt Riv"
"Muhammad Mahdi al-Jaw";"Antarah ibn S"
"Muhammad Nasiruddin al-Alban";"Ibn Abi Asim"
"Musa Najaf";"Reza Davari Ardakan"
"Christian Hermann W";"Immanuel Hermann F"
"Christine Ladd-Franklin";"James Joseph Sylv"
"Sandra Díaz (ecologist)";"J. Philip Grim"
"John Milne Bramwell";"James Braid (surgeon)"
"John M";"Ralph Waldo Emerson"
"John P. B";"Saul Kripk"
"John Rawl";"Isaiah Berlin"
"John Rawl";"James M"
"John Scotus Eriugen";"Origen"
"John Searl";"J. L. Austin"
"John Searl";"P. F. Strawson"
"John Stuart Mill";"James Mill"
"John Stuart Mill";"Auguste Com"
"John Wall";"Omar Khayyam"
"John Wesley";"Jan H"
"John Zerzan";"Ivan Ill"
"John Zerzan";"Jacques Ellul"
"Jonathan Ashm";"Anne Warner (scientist)"
"Jorge Luis B";"Arthur Schopen"
"Joris-Karl Huysman";"Arthur Schopen"
"Joseph-Ignace Guillotin";"Antoine P"
"Joseph Bank";"Israel Lyon"
"Joseph Stiglitz";"James Mirrl"
"José Ortega y G";"Oswald Spengl"
"Joxe Azurmen";"Isaiah Berlin"
"Jože Pučnik";"Ivo Urbančič"
"Judith Butl";"J. L. Austin"
"Judith Butl";"Jacques D"
"Julia Kristev";"Jacques Lacan"
"Julian P";"Richard Doll"
"Julius Bahnsen";"Arthur Schopen"
"Julius Evol";"Oswald Spengl"
"Julius Evol";"René Guénon"
"Józef Tischn";"Antoni Kępińsk"
"Jürgen Haberm";"Immanuel Kan"
"Jürgen Haberm";"Reinhart Koselleck"
"Matt Ridley";"Richard Dawkin"
"Matthew Fox (priest)";"Otto Rank"
"Maurice All";"Irving F"
"Max Born";"Arthur R. von Hippel"
"Max Gluckman";"Isaac S"
"Max Horkheim";"Arthur Schopen"
"Maximus the Conf";"Origen"
"Michael Dumm";"J. M. E. McT"
"Michael H";"Antonio N"
"Michael Ignatieff";"Isaiah Berlin"
"Marc Fleurbaey";"Amartya Sen"
"Marcellin Berthel";"Antoine Jérôme Bal"
"Marco Pall";"René Guénon"
"Marcus Aurel";"Seneca the Youn"
"Margaret T";"Arthur Seldon"
"Mark Plotkin";"Richard Evans Schul"
"Martha Nussbaum";"Iris M"
"Martha Nussbaum";"Amartya Sen"
"Martin B";"Jacob L. Moren"
"Martin Daly (professor)";"Richard Dawkin"
"Martin H";"Immanuel Kan"
"Martin H";"Jakob Johann von Uexküll"
"Martin H";"Anaximan"
"Martin Lin";"René Guénon"
"Martinus Beijerinck";"Sergei Winogradsky"
"Thomas Corwin Mendenhall";"Augustus De Morgan"
"Thomas Jefferson";"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury"
"Thomas L";"Arthur Schopen"
"Thomas Mann";"Mario Szenessy"
"Thomas Mann";"Arthur Schopen"
"Thomas Merton";"Jacques Ellul"
"Titus Burck";"René Guénon"
"Tom of Finlan";"Antonio Lopez (illustrator)"
"Tony Atkinson";"Amartya Sen"
"Tony J";"Raymond Aron"
"Wolfgang S";"Ivan Ill"
"Wolfgang Sm";"René Guénon"
"Yanis Varoufak";"Richard D. Wolff"
"Yelena Polenov";"Ivan Kramsk"
"Yuval Noah H";"Jared Diamon"
"Yves Con";"Jacques Maritain"
"Pl";"Posidon"
"Alessandro A";"Antonino Gandolf"
"Loyal R";"Henry Nelson Wieman"
"Luciano Fl";"Paul Otl"
"Ludwig Wittgenstein";"L. E. J. Brouw"
"Léon Brunschv";"Lucien Lévy-Bruhl"
"Carrie Ichikawa Jenkin";"Crispin W"
"Urie Bronfenbrenn";"Kurt Lewin"
"Vannevar B";"Paul Otl"
"Needhi Bhall";"Abby Dern"
"Paul Boghossian";"Crispin W"
"Shimshon Bichl";"Cornelius C"
"Gilbert Ryl";"Herbert James Paton"
"Jon S";"Robert Triv"
"Librado N";"Miguel P"
"Marcel G";"Cornelius C"
"Ulugh B";"Al-Khazin"
"Mohammad Baba As-Sam";"Ali Ramitan"
"Bob Black";"Peter Kropotkin"
"Deepak Nayy";"Paul Streeten"
"Demis H";"Peter Dayan"
"Dem";"Xenophan"
"Denis D";"Damaris Cudworth Masham"
"Denis Robert Pack-Beresf";"Robert Francis Scharff"
"Diego Riv";"Rodolfo N"
"Dmitri Ivanovsky";"Adolf May"
"Donald Kn";"Martin Gardner  Plato, Kant, G. K. Chesterton, William James, Char  1"
"Andy Clark";"Rodney Brook"
"Goddy Ley";"Pascal Kenfack"
"Gottfried Wilhelm Leibniz";"Conf"
"Gottfried Wilhelm Leibniz";"Rodrigo de A"
"Gottlob F";"Bruno B"
"Gottlob F";"Kuno F"
"Graham Ward (theologian)";"Cornelius C"
"Greg Bahnsen";"Cornelius Van Til"
"Greg Colson";"Bruce Nauman"
"Kerry Waghorn";"David Levin"
"Knud Ejler Lø";"Stephen Toulmin"
"P";"Xenophan"
"Py";"Xenophan"
"Py";"Thales of Mil"
"R. M. H";"A. J. Ay"
"Rachel Bluwstein";"A. D. Gordon"
"Rachel W";"Bruce Nauman"
"Ralph Kron";"Paul Ehrenf"
"Francis Glisson";"Nathan P"
"Henri Gouraud (computer scientist)";"Robert S. Barton"
"William Heick";"C. Cameron Macauley"
"H";"Philodem"
"Akio C";"Tetsuya C"
"Akira Yoshin";"Kenichi Fuk"
"Al-Birun";"Al-Sijz"
"Al-Birun";"Abu Nasr Man"
"Alan G";"Robert H. Dick"
"Alan Kay";"Robert S. Barton"
"Alan M";"Robert Anton Wilson"
"Alan S. Kaufman";"David Wechsl"
"Alan W";"Laoz"
"Albert Einstein";"David Hum"
"Alberto Alesin";"Robert B"
"Albertus Magn";"B"
"Aldo F";"Rogelio Julio F"
"Alexander Berkman";"Peter Kropotkin"
"Alexander Hamilton";"David Hum"
"Alexander Piatigorsky";"David B. Zilberman"
"Alfred Richard O";"C. H. Dougl"
"Algernon Sidney";"Robert Film"
"Allen Buchanan";"Dan W. Brock"
"Alok Bhargav";"Abraham Wal"
"Caziel";"Paul Cézann"
"Cesare Lom";"Bénédict Morel"
"Charles Darwin";"Bruno B"
"Charles Taylor (philosopher)";"Daniel Bell"
"Nikolai Tolstoy";"Peter Huxley-Bly"
"Nikolas Kom";"Cornelius C"
"Nikolay Bogolyubov";"Abdullah Sadiq"
"Noam Chomsky";"Peter Kropotkin"
"Noam Chomsky";"Roman Jakobson"
"Norman Finkelstein";"Paul Sweezy"
"Olafur Eliasson";"Robert Irwin (artist)"
"Stathis Psill";"David Lewis (philosopher)"
"Axel Honn";"Robert B. Pippin"
"Louis P";"Agostino B"
"Deepak Shukl";"Patricia G. S"
"Shūsui Kōtok";"Peter Kropotkin"
"Marla Fell";"David W. Tank"
"Carl Jun";"Adolf Bastian"
"Carl Jun";"Laoz"
"Carl Linn";"Robert Morison"
"Carl Sagan";"Paul Kurtz"
"Chris Lin";"Patrick M"
"Christiaan Huygen";"Robert Moray"
"Christian Cardell C";"Florence Wyl"
"Christian Wolff (philosopher)";"Conf"
"Christopher A. P";"Dale T. Mortensen"
"Christopher Coyne (professor)";"Peter Boettk"
"Claude Hillin";"Robert Basmann"
"Claude Lef";"Cornelius C"
"Clive Gran";"David Forbes Hendry"
"Colin Jordan";"Peter Huxley-Bly"
"Colin Wilson";"Abraham Maslow"
"Geoffrey Miller (psychologist)";"Daniel Denn"
"Geoffrey Sayre-McC";"David G"
"George F. Kennan";"Bruce Campbell H"
"George Woodcock";"Peter Kropotkin"
"Georges Braq";"Paul Cézann"
"Georges Duby";"Cornelius C"
"Gilles Deleuz";"David Hum"
"Giorgio Agamben";"Paracel"
"Jean Baudrill";"Cornelius C"
"Jean Baudrill";"Roland B"
"Jeffrey S";"David Lan"
"Jerome A. Ston";"Henry Nelson Wieman"
"Jerry F";"David Hum"
"Jim Peebl";"Robert H. Dick"
"Johann Georg Hamann";"David Hum"
"Johann Pal";"Adolf B"
"John A. Kn";"Roman Glazman"
"John Bellamy F";"Paul Sweezy"
"John F. Kennedy";"Bruce Campbell H"
"John Goodrick";"Edward P"
"John Gustafson (scientist)";"Robert S. Barton"
"John Hawthorn";"David Lewis (philosopher)"
"John Horton Conway";"Martin Gardner  Plato, Kant, G. K. Chesterton, William James, Char  1"
"John Lock";"Damaris Cudworth Masham"
"John Lock";"Robert Film"
"John Maynard Keyn";"David Hum"
"John McDowell";"Robert B. Pippin"
"David J. Malan";"Brian Kernighan"
"Bernard Loom";"Henry Nelson Wieman"
"Bertrand Russell";"David Hum"
"Bill Sienkiewicz";"Barron Storey"
"Karl E. P";"Henry Nelson Wieman"
"Karl Gustav Jöresk";"Peter Whittle (mathematician)"
"Karl Kautsky";"Bruno B"
"Karl Marx";"Adam Ferguson"
"Karl Marx";"Bruno B"
"Karl Marx";"David Hum"
"Karl Polany";"Richard Thurnwal"
"Karl P";"Xenophan"
"Karl P";"David Hum"
"Katherine Poll";"David Haussl"
"Keith Frank";"Peter Carruthers (philosopher)"
"Kenneth Binm";"Robert Sugden (economist)"
"Lee Smolin";"Roberto Mangabeira Un"
"Leo Tolstoy";"Afrikan S"
"Leo Tolstoy";"Peter Kropotkin"
"Leo VI the W";"Arethas of C"
"Lev Lan";"Roman Glazman"
"Lev Vygotsky";"Kurt Koffk"
"Lewis E. Kay";"Ad Bax"
"Zaw Zaw Aun";"Kyaw Hlain"
"Zeno of El";"Xenophan"
"Zhu X";"Conf"
"Zhuang Z";"Laoz"
"Zygmunt Bauman";"Cornelius C"
"Zygmunt Ziembińsk";"Czesław Znamierowsk"
"Évariste Gal";"Adrien-Marie Legen"
"Gregory of Ny";"Theognostus of Alexan"
"Jonathan Nitzan";"Cornelius C"
"Henry H";"Lawrence L"
"Nicole Loraux";"Cornelius C"
"Peter D. Klein";"Roderick Chisholm"
"Michael Sherm";"Martin Gardner  Plato, Kant, G. K. Chesterton, William James, Char  1"
"Michael Sherm";"Paul Kurtz"
"Michel Onfray";"A"
"Miguel Robles-Durán";"David Harvey"
"Milton Friedman";"Aaron D"
"Mircea El";"Debiprasad Chattopadhyay"
"Mohammed Ridha Al-S";"Al-Mutan"
"Mona Singh (scientist)";"Peter S. Kim"
"Rudolf Rock";"Peter Kropotkin"
"Rudolf Stein";"Afrikan S"
"Rufino Tamay";"Rodolfo N"
"S. R. Ranganathan";"Paul Otl"
"Sam H";"Daniel Denn"
"Sam H";"David Chalm"
"Friedrich Loeffl";"Robert K"
"Keith L";"Roderick Chisholm"
"Jane Mendill";"David F. Swensen"
"Gary Gorton";"Robert B"
"Gary Gorton";"Robert King (economist)"
"Slavoj Žižek";"Peter Kropotkin"
"Douglas Engel";"Paul Otl"
"Douglas Hof";"Martin Gardner  Plato, Kant, G. K. Chesterton, William James, Char  1"
"Douglas Hof";"Daniel Denn"
"Dugald Stew";"Adam Ferguson"
"E. E. Evans-P";"Charles Gabriel Seligman"
"E. O. Wilson";"Robert Triv"
"E. P. Thompson";"Cornelius C"
"Edgar Morin";"Cornelius C"
"Edmund G";"Roderick Chisholm"
"Edmund Husserl";"David Hum"
"Francis Bacon";"Roger Bacon"
"Francis Collin";"Sherman Weissman"
"Francis Schaeff";"Cornelius Van Til"
"Francisco Varel";"Cornelius C"
"Franciscus Sylv";"Paracel"
"Franz Anton Maul";"Paul T"
"Franz B";"Adolf Bastian"
"Franz Kafk";"Peter Kropotkin"
"François Laruell";"Adam Karl August von Eschenmay"
"François Quesnay";"Conf"
"Fred Feldman (philosopher)";"Roderick Chisholm"
"Freeman Dyson";"Abram Samoilovitch Besicov"
"Friedrich Engel";"Bruno B"
"Friedrich Nietz";"Afrikan S"
"Friedrich Nietz";"Bruno B"
"Fritz Perl";"Kurt Lewin"
"Frédéric B";"Adam Sm"
"Guy D";"Cornelius C"
"Ha-Joon Chan";"Robert Rowthorn"
"Hans Eysenck";"Cyril B"
"Hans J";"Cornelius C"
"Hans Reichen";"Kurt Grellin"
"Hans Vaihin";"Afrikan S"
"Harald Wolf";"Cornelius C"
"Harold Demsetz";"Aaron D"
"Hoshina Masayuk";"Yamazaki An"
"Hélène Metz";"Lucien Lévy-Bruhl"
"Ian Stewart (mathematician)";"Martin Gardner  Plato, Kant, G. K. Chesterton, William James, Char  1"
"Ibn al-B";"Abu al-Abbas al-N"
"Ilya Bolotowsky";"Bryce Hudson"
"Immanuel Kan";"Damaris Cudworth Masham"
"Immanuel Kan";"David Hum"
"Imre Lak";"Paul Feyeraben"
"Isaac Newton";"Thomas Street (astronomer)"
"Isaac Newton";"Robert Boyl"
"Israel Kirzn";"Bruno Leon"
"J. L. Mack";"David Hum"
"Jacob Wolfowitz";"Abraham Wal"
"Jacques D";"Paul Ricœ"
"Jacques Le Goff";"Cornelius C"
"Jaegwon Kim";"Roderick Chisholm"
"James David F";"David Brew"
"James H. Clark";"Robert S. Barton"
