start,end,lon,lat,shape
2022-12-01 18:10:00,2022-12-01 18:15:00,0,0,5 minutes
2022-12-01 18:00:00,2022-12-01 18:02:00,0,0,2 minutes
2022-12-01 15:33:00,2022-12-01 15:35:00,0,0,2 minutes
2022-12-01 14:10:00,2022-12-01 14:10:00,0,0,Ten minutes
2022-12-01 06:20:00,2022-12-01 06:23:00,0,0,2 to 3 minutes
2022-12-01 03:59:00,2022-12-01 04:00:00,0,0,60 seconds
2022-11-30 19:09:00,2022-11-30 19:09:00,0,0,Few minutes
2022-11-30 14:15:00,2022-11-30 14:20:00,0,0,5 minutes
2022-11-30 09:34:00,2022-11-30 09:34:00,0,0,Only captured with camera
2022-11-29 23:45:00,2022-11-29 23:45:30,0,0,30 seconds
2022-11-29 21:27:00,2022-11-29 21:27:02,0,0,2 seconds
2022-11-29 21:26:00,2022-11-29 21:26:05,0,0,5 seconds
2022-11-29 20:20:00,2022-11-29 20:20:20,0,0,20 seconds
2022-11-29 19:50:00,2022-11-29 19:58:00,0,0,8min
2022-11-29 18:55:00,2022-11-29 19:03:00,0,0,8min
2022-11-29 06:00:00,2022-11-29 06:00:00,0,0,Few seconds
2022-11-28 22:15:00,2022-11-28 22:15:00,0,0,Few seconds
2022-11-28 21:04:00,2022-11-28 21:27:00,0,0,23 minutes
2022-11-28 06:30:00,2022-11-28 06:30:10,0,0,About 10 secs
2022-11-28 04:00:00,2022-11-28 04:00:00,0,0,A couple of hours
2022-11-27 21:00:00,2022-11-27 21:00:00,0,0,Few seconds
2022-11-27 16:38:00,2022-11-27 16:40:00,0,0,almost 2 minutes
2022-11-27 15:30:00,2022-11-27 15:35:00,0,0,5 minutes Driving
2022-11-27 14:00:00,2022-11-27 14:05:00,0,0,5 minutes
2022-11-26 22:55:00,2022-11-26 23:10:00,0,0,15 mins
2022-11-26 19:15:00,2022-11-26 19:15:00,0,0,Appeared in my photo
2022-11-26 18:00:00,2022-11-26 18:05:00,0,0,5 minutes
2022-11-26 17:22:00,2022-11-26 17:22:15,0,0,1min 15sec
2022-11-26 16:30:00,2022-11-26 16:35:00,0,0,5 min
2022-11-26 14:17:00,2022-11-26 14:17:03,0,0,3 seconds
2022-11-26 00:30:00,2022-11-26 00:30:00,0,0,Several
2022-11-26 00:00:00,2022-11-26 03:00:00,0,0,3 hours
2022-11-25 22:27:00,2022-11-25 22:32:00,0,0,"Maybe 5 minutes, hard to"
2022-11-25 20:30:00,2022-11-25 20:45:00,0,0,15 minutes and contining
2022-11-25 19:15:00,2022-11-25 19:20:00,0,0,Twice 3-5min
2022-11-25 19:05:00,2022-11-25 19:10:00,0,0,5 minutes
2022-11-25 18:30:00,2022-11-25 21:30:00,0,0,3 hours
2022-11-24 21:25:00,2022-11-24 21:25:03,0,0,3 seconds
2022-11-24 20:34:00,2022-11-24 20:54:00,0,0,20 minutes
2022-11-24 20:22:00,2022-11-24 20:25:00,0,0,About 3 minutes
2022-11-24 19:45:00,2022-11-24 19:48:00,0,0,About 3 minutes
2022-11-24 18:30:00,2022-11-24 18:36:00,0,0,6 min
2022-11-24 10:20:00,2022-11-24 10:20:10,0,0,10 sec
2022-11-24 04:23:00,2022-11-24 04:23:00,0,0,1 photo on trail camera
2022-11-23 23:01:00,2022-11-23 23:11:00,0,0,approximately 10 minutes
2022-11-23 22:55:00,2022-11-23 22:55:00,0,0,Several minutes
2022-11-23 22:48:00,2022-11-23 22:48:10,0,0,10 seconds
2022-11-23 22:15:00,2022-11-23 22:45:00,0,0,About 30 mins
2022-11-23 20:12:00,2022-11-23 20:22:00,0,0,10 minutes max
2022-11-23 20:00:00,2022-11-23 20:05:00,0,0,5 minutes
2022-11-23 20:00:00,2022-11-23 20:10:00,0,0,10 minutes
