"influences";"influenced"
"Emmanuel Joseph Sieyè";"Adam Sm"
"Emmanuel Saez";"Tony Atkinson"
"Enrico Ferri (criminologist)";"Cesare Lom"
"Erhan Çinl";"Ahmed Cemal Eringen"
"Erik Ringm";"Charles E. Lindblom"
"Erik von Kuehnelt-Leddihn";"Charles M"
"Ernest Nagel";"Morris Raphael Cohen"
"Ernst Haeckel";"Charles Darwin"
"Ernst May";"Charles Fleming (ornithologist)"
"Errol H";"John Alexander Sm"
"Eugene L. Gran";"John Charles Lounsbury F"
"Eva de Vitray-Meyerov";"Muhammad Iqbal"
"Evald Ilyenkov";"Baruch Spinoz"
"Gerson";"John Philopon"
"Gilles Deleuz";"Baruch Spinoz"
"Gilles Deleuz";"Agustín García Calv"
"Giorgio Agamben";"Ivan Ill"
"Giovanni Pico della Mirandol";"John Philopon"
"Gloria Álvarez";"Juan Bautista Al"
"Gottfried Wilhelm Leibniz";"Baruch Spinoz"
"Gotthold Ephraim Lessin";"Baruch Spinoz"
"Arnold Aletrin";"Cesare Lom"
"Arnoldus Clapm";"Scipione Amm"
"Marc Lav";"Basil M"
"Marc Lav";"Morris Copelan"
"Marcel Fratz";"Barry Eichengreen"
"Marcel P";"Jules C"
"Marcus Aurel";"Seneca the Youn"
"Maria da Conceição Tav";"Celso F"
"Mario Bun";"Juan Bautista Al"
"Mario Vargas Ll";"José Ortega y G"
"Marion Ross (physicist)";"C. Arnold Beev"
"Mark Lill";"Isaiah Berlin"
"Mark Twain";"Algernon Sidney  Algernon Sidney  1"
"Martha Nussbaum";"Iris M"
"Martin H";"Agustín García Calv"
"Martin H";"Charles M"
"Martin Seligman";"Aaron Beck"
"Martinus Beijerinck";"Sergei Winogradsky"
"Martinus Beijerinck";"Adolf May"
"María Zambran";"José Ortega y G"
"Pietro V";"Isaac Newton"
"Plinio Corrêa de Oliv";"Juan Donoso Corté"
"Politics of the United S";"Montesq"
"Penelope Del";"Ion Dragoum"
"Sidney Dekk";"Jens Rasmussen (human factors expert)"
"João Murça P";"Adolpho Duck"
"Jacob Burck";"Jules Michel"
"Jacob Wolfowitz";"Abraham Wal"
"Jacques Bouv";"Jules Vuillemin"
"Jacques Bouv";"Gilles-Gaston Gran"
"Jacques D";"J. L. Austin"
"Jacques D";"Agustín García Calv"
"Jacques Maritain";"Algernon Sidney  Algernon Sidney  1"
"Jacques Maritain";"Charles M"
"James Clerk Maxwell";"Isaac Newton"
"James Jurin";"Isaac Newton"
"James Tobin";"Irving F"
"Jam";"Ibn Arabi  Ibn ʿArabī  1"
"Janet Ajzen";"Allan Bloom  Allan Bloom  1"
"Jasbir P";"Judith Butl"
"Javad Nurbak";"Ibn Arabi  Ibn ʿArabī  1"
"Javier Mil";"Juan Bautista Al"
"Jawad Naqv";"Muhammad Iqbal"
"Jean-Baptiste Say";"Adam Sm"
"Jean-Henri F";"Juan Brè"
"Jean-Jacques R";"Baron d'Hol"
"Jean-Jacques R";"Baruch Spinoz"
"Jean-Jacques R";"Montesq"
"Jean-Jacques R";"Algernon Sidney  Algernon Sidney  1"
"Jean-Paul M";"Baron d'Hol"
"Jean-Paul S";"Agustín García Calv"
"Jean Bricmon";"Jules Vuillemin"
"Jean Buridan";"John Philopon"
"Jean Charles Léonard de Sismon";"Montesq"
"Jean Charles Léonard de Sismon";"Adam Sm"
"Jean Comaroff";"Isaac S"
"Khushwant Sin";"Muhammad Iqbal"
"Bruce Caldwell (economist)";"Israel Kirzn"
"Maurice All";"Irving F"
"Maurice Dupl";"Charles M"
"Max Gluckman";"Isaac S"
"Max Müll";"Afrikan S"
"Max N";"Bénédict Morel"
"Max Wolf";"Adolf B"
"Maxie Clarence Maultsby J";"B. F. Skinn"
"Maximilien R";"Baron d'Hol"
"Rainer Maria Rilk";"Agustín García Calv"
"Ralph McInerny";"Charles De Koninck"
"Ramaprasad Chan";"Sarasi Kumar Sarasw"
"Ramón R";"Juan Bautista Al"
"Raoul Vaneigem";"Charles F"
"Raúl Alfonsín";"Juan Carlos Portan"
"René Guénon";"Ibn Arabi  Ibn ʿArabī  1"
"Dimitris Pikion";"Ion Dragoum"
"Needhi Bhall";"Abby Dern"
"Emily M. Dougl";"Murray A. S"
"Ibn Hawqal";"Abu Zayd al-Balk"
"Muhammad Sirajuddin Naqshban";"Muhammad Usman Daman"
"Martin of B";"Seneca the Youn"
"Sandra Díaz (ecologist)";"J. Philip Grim"
"A. J. Ay";"C. D. B"
"Nikolai Berdyaev";"Semyon Frank"
"Nikolay Bogolyubov";"Abdullah Sadiq"
"Nikolay Chernyshevsky";"Ivan Sechenov"
"Nikolay Chernyshevsky";"Charles F"
"Nikolay Timofeev-Ressovsky";"Sergei Chetverikov"
"Nikos Kazantzak";"Ion Dragoum"
"Nils Kock";"Mohamed Ghoneim"
"Noam Chomsky";"Adam Sm"
"Norberto B";"Giorgio Del V"
"Noval";"Baruch Spinoz"
"Odysseas Ely";"Ion Dragoum"
"Francis Glisson";"Nathan P"
"Mariano Grondon";"Juan Bautista Al"
"Sayyad Laal Shah Hamdan";"Muhammad Usman Daman"
"Roberto Assagiol";"Abraham Maslow"
"Colin Maclaurin";"Isaac Newton"
"Colin McCahon";"Charles Cotton (geologist)"
"Colin Wilson";"Abraham Maslow"
"Alice D";"J. Michael Bailey"
"Attila Aşk";"Ahmed Cemal Eringen"
"John Lock";"Isaac Newton"
"John Lock";"Algernon Sidney  Algernon Sidney  1"
"John Lubbock, 1st Baron Avebury";"Charles Darwin"
"John Maynard Keyn";"Baron d'Hol"
"John Maynard Keyn";"Baruch Spinoz"
"John Maynard Keyn";"Isaac Newton"
"John Maynard Keyn";"Algernon Sidney  Algernon Sidney  1"
"John Maynard Keyn";"Adam Sm"
"John Maynard Keyn";"C. H. Dougl"
"John Milton";"Algernon Sidney  Algernon Sidney  1"
"John P. B";"Saul Kripk"
"John Rawl";"Isaiah Berlin"
"John Scott, 1st Earl of Eldon";"Charles Hutton"
"John Searl";"J. L. Austin"
"John Stuart Mill";"Nassau William Sen"
"John Stuart Mill";"Adam Sm"
"John Stuart Mill";"Charles B"
"John Zerzan";"Ivan Ill"
"Jonathan Homer Lan";"Charles Grafton P"
"Jorge Luis B";"Baruch Spinoz"
"Joris-Karl Huysman";"Algernon Sidney  Algernon Sidney  1"
"Joseph Bank";"Israel Lyon"
"Joseph Campbell";"Adolf Bastian"
"Joseph Campbell";"Adolf Ellegard Jensen"
"Joseph Dalton Hook";"Charles Darwin"
"Joseph Dalton Hook";"Charles Lyell"
"Joseph Déjacq";"Charles F"
"Joseph de M";"Seneca the Youn"
"Joseph de M";"Baruch Spinoz"
"Joseph de M";"Algernon Sidney  Algernon Sidney  1"
"Joseph de M";"Adam Sm"
"Joseph de M";"Cesare B"
"José Antonio Primo de Riv";"José Ortega y G"
"José Luis E";"Juan Bautista Al"
"Joxe Azurmen";"Isaiah Berlin"
"Jože Pučnik";"Ivo Urbančič"
"Juan José Sebrel";"Juan Bautista Al"
"Juan Perón";"Charles M"
"Judea Pearl";"Trygve Haavelm"
"Judith Butl";"J. L. Austin"
"Judith H. My";"Charles K"
"Judith S. Beck";"Aaron Beck"
"Jules D";"Jules Tannery"
"Jules Vuillemin";"Gilles-Gaston Gran"
"Sara Ahm";"Judith Butl"
"Sayyed Jalal-ed-Din Ashtian";"Muhammad Husayn Tabatabai  Muhammad Husayn Tabataba'i  1"
"Scott Sumn";"Irving F"
"Selman Waksman";"Sergei Winogradsky"
"Fairuz";"Ibn Arabi  Ibn ʿArabī  1"
"Photios I of Constantinopl";"John Philopon"
"Kim Vicen";"Jens Rasmussen (human factors expert)"
"Baruch Spinoz";"Seneca the Youn"
"Abd al-Karim al-Jil";"Ibn Arabi  Ibn ʿArabī  1"
"Abdul Aziz al-H";"Abu Abd al-Rahman Ibn Aqil al-Z"
"Irvin D. Yalom";"Baruch Spinoz"
"Irwin D. Mandel";"Barnet M. Levy"
"Isaac Newton";"Isaac Barrow"
"Isaac Newton";"Algernon Sidney  Algernon Sidney  1"
"Ismail Haqqi Bursev";"Ibn Arabi  Ibn ʿArabī  1"
"Israr Ahm";"Muhammad Iqbal"
"Istak";"Abu Zayd al-Balk"
"Ivan Pavlov";"Ivan Sechenov"
"J. R. R. Tolkien";"Algernon Sidney  Algernon Sidney  1"
"Mohammad-Taqi B";"Muhammad Iqbal"
"Mohammad B";"Muhammad Husayn Tabatabai  Muhammad Husayn Tabataba'i  1"
"Montesq";"Algernon Sidney  Algernon Sidney  1"
"Morteza M";"Muhammad Husayn Tabatabai  Muhammad Husayn Tabataba'i  1"
"Moses H";"Baruch Spinoz"
"Muhammad Ali Jinn";"Muhammad Iqbal"
"Muhammad A";"Muhammad Iqbal"
"Muhammad Idrees D";"Muhammad T"
"Muhammad Iqbal";"Ibn Arabi  Ibn ʿArabī  1"
"Muhammad Iqbal";"Agustín García Calv"
"Muhammad Ishaq Madn";"Muhammad Iqbal"
"Muhammad Taha al-Huwayz";"Muhammad Rida al-Muzaff"
"Muhammad al-Tijan";"Muhammad Husayn Tabatabai  Muhammad Husayn Tabataba'i  1"
"Murray R";"Adam Sm"
"Musa al-S";"Muhammad Husayn Tabatabai  Muhammad Husayn Tabataba'i  1"
"Mustafa ibn Ali al-Muwaqq";"Muhammad al-Qunaw"
"Nachman Syrkin";"Moses H"
"Nancy Cartwright (philosopher)";"Bas van Fraassen"
"Nancy Leveson";"Jens Rasmussen (human factors expert)"
"Naser Makarem Shiraz";"Muhammad Husayn Tabatabai  Muhammad Husayn Tabataba'i  1"
"Juan B. J";"Juan Bautista Al"
"John H. Miller J";"J. R. Tuck"
"Abbie Hoffman";"Abraham Maslow"
"Abd al-Ghani al-Nabul";"Ibn Arabi  Ibn ʿArabī  1"
"Abdel-Halim Mahm";"Ibn Arabi  Ibn ʿArabī  1"
"Abdollah Javadi-Amol";"Muhammad Husayn Tabatabai  Muhammad Husayn Tabataba'i  1"
"Abdullah Öcalan";"Murray Bookchin"
"Abdus Salam";"Muneer Ahmad R"
"Abdus Salam";"Abdullah Sadiq"
"Abraham ibn Ez";"Abraham bar Hiyy"
"Abu Bakr al-Raz";"Abu Zayd al-Balk"
"Abul A'la M";"Muhammad Iqbal"
"Abul Kalam Az";"Sarmad Kashan"
"Ada Lovel";"Charles B"
"Adam Ferguson";"Montesq"
"Adam Sm";"Baron d'Hol"
"Adam Sm";"Baruch Spinoz"
"Adam Sm";"Algernon Sidney  Algernon Sidney  1"
"Adam W";"Baron d'Hol"
"Adam Wielomsk";"Juan Donoso Corté"
"Adam Wielomsk";"Charles M"
"Ahmed Raza Khan Barelv";"Ibn Arabi  Ibn ʿArabī  1"
"C. H. Dougl";"Algernon Sidney  Algernon Sidney  1"
"C. H. Dougl";"Adam Sm"
"C. S. Lew";"Algernon Sidney  Algernon Sidney  1"
"Camille Desmoulin";"Baron d'Hol"
"Catherine the G";"Cesare B"
"Cesare Lom";"Bénédict Morel"
"Charles Darwin";"Baron d'Hol"
"Charles Darwin";"Baruch Spinoz"
"Charles Darwin";"Algernon Sidney  Algernon Sidney  1"
"Charles Darwin";"Charles Lyell"
"Charles Dicken";"Algernon Sidney  Algernon Sidney  1"
"Charles Hartshorn";"Jules Leq"
"Charles Péguy";"Algernon Sidney  Algernon Sidney  1"
"Charles Renouv";"Jules Leq"
"Charles Renouv";"Baruch Spinoz"
"Charles S";"Charles Emerson B"
"Charles Taylor (philosopher)";"Isaiah Berlin"
"Antonio Bermej";"Juan Bautista Al"
"Steve Keen";"Basil M"
"Steve Keen";"Irving F"
"Susan Haack";"C. I. Lew"
"Susan Stebbin";"Moritz Schlick"
"Susan Stryk";"Judith Butl"
"Suzanne Eaton";"Thomas B. Korn"
"Sverre Petterssen";"Tor Bergeron"
"Paul Tannery";"Jules Tannery"
"Swiss cheese model";"Jens Rasmussen (human factors expert)"
"Joshua Kn";"Gilbert Harman"
"Nancy Bauer (philosopher)";"J. L. Austin"
"Abraham Nicolas Amelot de la Houssay";"Scipione Amm"
"Abu Said al-Baj";"Ibn Arabi  Ibn ʿArabī  1"
"Abu al-Hasan al-S";"Ibn Arabi  Ibn ʿArabī  1"
"Carl Jun";"Adolf Bastian"
"Carl Jun";"Agustín García Calv"
"Carl Schm";"Juan Donoso Corté"
"Hugh of Saint V";"Adelard of B"
"Hugo Kołłątaj";"Adam Sm"
"Belinda Wright (conservationist)";"Fateh Singh R"
"Jakob Thom";"Scipione Amm"
"Tõnu P";"Tord Palan"
"Gabriel Wagn";"Baruch Spinoz"
"Herbert James Paton";"John Alexander Sm"
"Thomas Pangl";"Allan Bloom  Allan Bloom  1"
"Meredith Chiv";"J. Michael Bailey"
"Domingo Faustino Sarmien";"Charles F"
"Donald Davidson (philosopher)";"Baruch Spinoz"
"Dugald Stew";"Adam Ferguson"
"Slavoj Žižek";"Mladen Dol"
"Isaac of Stell";"Adelard of B"
"Ibn al-'Awwam";"Al-Tighn"
"Idris Bitl";"Ibn Arabi  Ibn ʿArabī  1"
"Odd S. Lovoll";"Ingrid Semmingsen"
"Nachiket M";"Bakul Harshadrai Dholak"
"Célestin P";"Jules Q"
"Grady B";"Ivar Jacobson"
"Graham Harman";"José Ortega y G"
"Gregory Areshian";"José Ortega y G"
"Gustav Bergmann";"Moritz Schlick"
"Heinrich Cornelius A";"Johann Reuchlin"
"Henri de Saint-Simon";"Isaac Newton"
"Henri de Saint-Simon";"Adam Sm"
"Henry Corbin";"Ibn Arabi  Ibn ʿArabī  1"
"Henry Corbin";"Muhammad Husayn Tabatabai  Muhammad Husayn Tabataba'i  1"
"Henry G";"Adam Sm"
"Henry Lipson";"C. Arnold Beev"
"Henry Maudsley";"Bénédict Morel"
"Herbert A. Simon";"Chester Barn"
"Herbert Feigl";"Moritz Schlick"
"Herbert M";"Charles F"
"Herbert Spen";"Charles Darwin"
"Hermann Conrin";"Scipione Amm"
"Hilaire Bell";"Algernon Sidney  Algernon Sidney  1"
"Hilda K";"Isaac S"
"Léon Bloy";"Algernon Sidney  Algernon Sidney  1"
"Maimon";"John Philopon"
"Carl Sprengel";"Felicjan Sypniewski  Felicjan Sypniewski  1"
"Carlos Alfredo Rodríguez";"Juan Bautista Al"
"Ricardo López Murphy";"Juan Bautista Al"
"Richard Bentley";"Isaac Newton"
"Richard Joyce (philosopher)";"J. L. Mack"
"Richard Posn";"Aaron D"
"Robert Anton Wilson";"Adam W"
"Robert Dahl";"Charles E. Lindblom"
"Robert G";"Adelard of B"
"Robert Hugh Benson";"Algernon Sidney  Algernon Sidney  1"
"Robert J. Gorlin";"Barnet M. Levy"
"Robert J. Shill";"Irving F"
"Robert Paul Wolff";"C. I. Lew"
"Robert Smith (mathematician)";"Isaac Newton"
"Roderick Murchison";"Charles Lyell"
"Roger Bacon";"Adelard of B"
"Rom Harré";"J. L. Austin"
"Cliff Sl";"István Mészáros (philosopher)"
"Amable Guillaume Prosper Brugière, baron de Baran";"Montesq"
"Ezra Poun";"C. H. Dougl"
"Faiz Ahmad Faiz";"Muhammad Iqbal"
"Fakhr al-Din Iraq";"Ibn Arabi  Ibn ʿArabī  1"
"Fateh Mohammad Malik";"Muhammad Iqbal"
"Feliks Koneczny";"Montesq"
"Fibon";"Abraham bar Hiyy"
"Florentino Ameghin";"Juan Brè"
"Jeremy Bentham";"Cesare B"
"Jesús Huerta de S";"Israel Kirzn"
"Joaquín V. González";"Juan Bautista Al"
"Johann Gottfried H";"Baruch Spinoz"
"Johann Gottlieb F";"Baruch Spinoz"
"Johann Gottlieb F";"Ernst Platn"
"Johann Pal";"Adolf B"
"Johann Wolfgang von G";"Baruch Spinoz"
"John Adam";"Algernon Sidney  Algernon Sidney  1"
"John Adam";"Cesare B"
"John Allen William";"Morris Janowitz"
"John Ambrose Flemin";"Charles Grafton P"
"John B. C";"Charles Hartshorn"
"John Comaroff";"Isaac S"
"John Deely";"Mortimer J. Adl"
"John Forbes Nash J";"Adam Sm"
"John Goodrick";"Edward P"
"John Gray (philosopher)";"Isaiah Berlin"
"John Henry Newman";"Algernon Sidney  Algernon Sidney  1"
"Lee Felsenstein";"Ivan Ill"
"Leo S";"Baruch Spinoz"
"Leo Tolstoy";"Mitrofan Lodyzhensky"
"Leo Tolstoy";"Afrikan S"
"Leonhard Eul";"Isaac Newton"
"Lester Charles Kin";"Charles Cotton (geologist)"
"Leszek Kołakowsk";"Baruch Spinoz"
"Lev Vygotsky";"Sergei Rubinstein"
"Lev Vygotsky";"Baruch Spinoz"
"Lewis E. Kay";"Ad Bax"
"Linus Paulin";"Irwin Ston"
"Necip Fazıl Kısakürek";"Abdulhakim Arv"
"Nelson Goodman";"C. I. Lew"
"Nicolas Clémen";"Charles Bernard Desorm"
"Nicolás Gómez Dávil";"Juan Donoso Corté"
"Nihat Berk";"Ahmed Cemal Eringen"
"Pavlos Mel";"Ion Dragoum"
"Percy Bysshe Shelley";"Adam W"
"Perry Mehrlin";"Morris Copelan"
"Peter Abel";"Adelard of B"
"Peter G";"J. M. E. McT"
"Peter Kreef";"Mortimer J. Adl"
"Peter Kropotkin";"Baron d'Hol"
"Peter Kropotkin";"Charles F"
"Peter Lamborn Wilson";"Charles F"
"P";"Seneca the Youn"
"Philip Melanchthon";"Johann Reuchlin"
"Philippa F";"Iris M"
"Pierre-Joseph Proudhon";"Adam Sm"
"Pierre-Joseph Proudhon";"Charles F"
"Pierre-Simon Lapl";"Isaac Newton"
"Pussy R";"Judith Butl"
"Rae Langton";"J. L. Austin"
"Raghuram Rajan";"Bakul Harshadrai Dholak"
"Theodor Herzl";"Moses H"
"Theodosius Dobzhansky";"Sergei Chetverikov"
"Thomas Henry Huxley";"Charles Darwin"
"Thomas Henry Huxley";"Charles Lyell"
"Thomas Hodgskin";"Adam Sm"
"Thomas Jefferson";"Isaac Newton"
"Thomas Jefferson";"Algernon Sidney  Algernon Sidney  1"
"Thomas Jefferson";"Cesare B"
"Thomas Mayer (German economist)";"Juergen B. Don"
"Thomas Pain";"Montesq"
"Thomas Pain";"Algernon Sidney  Algernon Sidney  1"
"Thomas Piketty";"Tony Atkinson"
"Thomas Robert Mal";"Adam Sm"
"Thomas Sowell";"Adam Sm"
"Tito Livio F";"Mário Ferreira dos San"
"Tomoko O";"Motoo Kim"
"Wolfgang S";"Ivan Ill"
"Xavier Gabaix";"David Laibson  David Laibson  1"
"Xavier Z";"José Ortega y G"
"Ebrahim Amin";"Muhammad Husayn Tabatabai  Muhammad Husayn Tabataba'i  1"
"Edmund Burk";"Seneca the Youn"
"Edmund Burk";"Baruch Spinoz"
"Edmund Burk";"Montesq"
"Edmund Burk";"Algernon Sidney  Algernon Sidney  1"
"Edward Gibbon";"Baron d'Hol"
"Edward Gibbon";"Baruch Spinoz"
"Edward Gibbon";"Algernon Sidney  Algernon Sidney  1"
"Edward R";"Isaac Newton"
"Eileen K";"Isaac S"
"Eleftherios Venizel";"Adamantios K"
"Elias Ashmol";"Nathan P"
"Elliot Aronson";"Abraham Maslow"
"Andrea Smith (academic)";"Judith Butl"
"Julius Evol";"Juan Donoso Corté"
"Julián Marí";"José Ortega y G"
"Justus von L";"Felicjan Sypniewski  Felicjan Sypniewski  1"
"Jürgen Haberm";"J. L. Austin"
"Karen B";"Judith Butl"
"Karl J";"Agustín García Calv"
"Karl Marx";"Baron d'Hol"
"Karl Marx";"Baruch Spinoz"
"Karl Marx";"Algernon Sidney  Algernon Sidney  1"
"Karl Marx";"Adam Ferguson"
"Karl Marx";"Adam Sm"
"Karl Marx";"Charles B"
"Karl Marx";"Charles F"
"Louis Al";"Baruch Spinoz"
"Louis P";"Algernon Sidney  Algernon Sidney  1"
"Louis P";"Agostino B"
"Ludwig Wittgenstein";"Baruch Spinoz"
"Lynn Margul";"Ivan Wallin"
"Olavo de Carval";"José Ortega y G"
"Olavo de Carval";"Mário Ferreira dos San"
"Oliver E. Williamson";"Chester Barn"
"Otto Hahn";"Adolf von Baey"
"Seyla Ben";"Iris Marion Youn"
"Seyyed Hossein N";"Ibn Arabi  Ibn ʿArabī  1"
"Seyyed Hossein N";"Muhammad Husayn Tabatabai  Muhammad Husayn Tabataba'i  1"
"Shah Waliullah Dehlaw";"Ibn Arabi  Ibn ʿArabī  1"
"Shoshana Zuboff";"B. F. Skinn"
"Sidney Hook";"Morris Raphael Cohen"
"Sigmund F";"Baron d'Hol"
"Sigmund F";"Baruch Spinoz"
"Sigmund F";"Algernon Sidney  Algernon Sidney  1"
"Stanislavs Ladusãn";"Mário Ferreira dos San"
"Stanley Cavell";"J. L. Austin"
"Stella Kram";"Sarasi Kumar Sarasw"
"Stephen Jay Goul";"Isaiah Berlin"
"Stephen S";"Gilbert Harman"
"Douglas McG";"Abraham Maslow"
"Einar Niem";"Ingrid Semmingsen"
"William of Con";"Adelard of B"
"Bob Black";"Ivan Ill"
"Bob Black";"Charles F"
"Bonaven";"John Philopon"
"Hyman Minsky";"Irving F"
"Ibn Wahshiyy";"Jabir ibn Hayyan"
"Immanuel Kan";"Baron d'Hol"
"Immanuel Kan";"Isaac Newton"
"Imran N. Hosein";"Muhammad Iqbal"
"Konstantin Arnol";"Grigorii Kozhevnikov"
"Kostis Palam";"Ion Dragoum"
"Kurt Gödel";"Moritz Schlick"
"Michael Dumm";"J. M. E. McT"
"Michael H";"Baruch Spinoz"
"Michael Ignatieff";"Isaiah Berlin"
"Michael Oak";"J. M. E. McT"
"Michel Foucaul";"Agustín García Calv"
"Michel Onfray";"Baron d'Hol"
"Michel de Montaign";"Seneca the Youn"
"Miguel Antonio C";"Juan Donoso Corté"
"Miguel de Unamun";"Baruch Spinoz"
"Milton Friedman";"Irving F"
"Milton Friedman";"Aaron D"
"Milton Friedman";"Adam Sm"
"Minoru Kan";"Charles DeL"
"Mir Sayyid Ali Hamadan";"Ibn Arabi  Ibn ʿArabī  1"
"P. D. Ouspensky";"Mitrofan Lodyzhensky"
"Paul Claudel";"Algernon Sidney  Algernon Sidney  1"
"Paul Goodman";"Charles F"
"Paul Krugman";"Adam Sm"
"Paul Markowsk";"Joseph B. Klem"
"Paul Painlevé";"Jules Tannery"
"Paul Wolfowitz";"Allan Bloom  Allan Bloom  1"
"Roman Rybarsk";"Adam Sm"
"Roman";"Ioan Moț"
"Roman";"Camil Mureșan"
"Ronald C";"Aaron D"
"Ronald Knox";"Algernon Sidney  Algernon Sidney  1"
"Roshan Cool";"Trevor Robbin"
"Rudolf Stein";"Afrikan S"
"Ruhollah Khomein";"Ibn Arabi  Ibn ʿArabī  1"
"Russell Kirk";"Algernon Sidney  Algernon Sidney  1"
"Dawūd al-Qayṣarī";"Ibn Arabi  Ibn ʿArabī  1"
"Everett Reim";"Ivan Ill"
"Ibn al-F";"Ibn Arabi  Ibn ʿArabī  1"
"Gerardus Heyman";"Afrikan S"
"José G";"José Ortega y G"
"Raffaele Garofal";"Cesare Lom"
"Margaret B";"Barbara Hesl"
"Muhammad Hossein Gharav";"Muhammad Rida al-Muzaff"
"Vasily Leonidovitch Omeliansk";"Sergei Winogradsky"
"Yu Deuk-gon";"Bak Jiwon (born 1737)"
"Yusuf al-Nabhan";"Ibn Arabi  Ibn ʿArabī  1"
"Ze'ev Jabotinsky";"Moses H"
"Zhu X";"Cheng Yi (philosopher)"
"Zhuang Z";"Moz"
"Álvaro Alsogaray";"Juan Bautista Al"
"Élie Cartan";"Jules Tannery"
"Émile Arman";"Charles F"
"Émile Borel";"Jules Tannery"
"Émile Durkheim";"Montesq"
"Émilie du Châtel";"Isaac Newton"
"Étienne Bal";"Baruch Spinoz"
"Évariste Gal";"Adrien-Marie Legen"
"Juan Vázquez de Mell";"Juan Donoso Corté"
"Samuel Hartl";"Nathan P"
"Stanley Victor Keelin";"J. M. E. McT"
"Rose Scott-Moncrieff";"Muriel Wheldale Onslow"
"Allen Newell";"Herbert A. Simon"
"Alok Bhargav";"Herbert A. Simon"
"Amartya Sen";"Maurice D"
"Amos Tversky";"Herbert A. Simon"
"Anax";"Heracl"
"Andre Geim";"Simon J. Bendin"
"Andrew A";"Carl Schm"
"Andrew A";"Cornelius C"
"Andrew A";"György Luká"
"Andrew Feen";"Herbert M"
"Adrian Johnston (philosopher)";"Slavoj Žižek"
"Aenesidem";"Heracl"
"Alexandre Lacassagn";"Gabriel T"
"Alfred Jules Émile Fouillé";"Charles Renouv"
"Dam";"Asclepiodotus of Alexan"
"Daniel A. Bell";"Charles Taylor (philosopher)"
"Daniel Cohn-Ben";"Cornelius C"
"Daniel Kahneman";"Herbert A. Simon"
"Daniele A";"Christopher Freeman"
"David Baulcom";"Chris J. Leav"
"David C";"Hirofumi Uzaw"
"David Edgar (playwright)";"Joseph Berk"
"David Harvey";"Henri Lefebv"
"David Laibman";"Maurice D"
"David Lewis (philosopher)";"Donald Cary William"
"David Lloyd G";"Henry G"
"David Lyon (sociologist)";"Charles Taylor (philosopher)"
"David Malet Armstron";"Ullin Pl"
"David Malet Armstron";"Donald Cary William"
"David Prychitk";"Don Lav"
"David Stov";"Donald Cary William"
"David Weinin";"Corwin Han"
"Arcesil";"Crates of Athen"
"Carrie Ichikawa Jenkin";"Crispin W"
"Constance T";"Charles Oatley"
"V. Gordon Chil";"Gustaf Kossinn"
"V. Gordon Chil";"Heinrich Schliemann"
"Vela Velupill";"Herbert A. Simon"
"Vilfredo P";"Herbert Spen"
"Vinayak Damodar Savark";"Herbert Spen"
"Virgil";"Philodem"
"Vladimir Jankélév";"Henri Bergson"
"Vladimir Lenin";"Gustave Le Bon"
"Vladimir Nabokov";"Henri Bergson"
"W. B. Y";"Henry David T"
"W. D. R";"H. A. P"
"W. I. Thom";"Gabriel T"
"Waldemar Gurian";"Carl Schm"
"Walt Whitman";"Henry David T"
"Walter Benjamin";"Carl Schm"
"Walter Benjamin";"György Luká"
"Walter Benjamin";"Heinrich Blü"
"Walter Benjamin";"Heinrich Rick"
"Walter E. William";"Henry Hazl"
"Walter Rauschen";"Henry G"
"Wang Shaoguan";"Carl Schm"
"Wang Yangmin";"Lu Jiuyuan"
"Gila S";"Charles Parsons (philosopher)"
"Heinz von F";"Gregory Bateson"
"Mary Poovey";"Charles Taylor (philosopher)"
"Hugolino of Orv";"Gregory of Rimin"
"Jay Haley";"Gregory Bateson"
"Michael A. Sm";"Simon Blackburn"
"Gene Callahan (economist)";"Henry Hazl"
"Paolo Virn";"Gabriel T"
"Ahmad Zarruq";"Abu al-Hasan al-S"
"Derek Parf";"Christine K"
"Derek Parf";"Henry Sidgwick"
"Pierre d'Ailly";"Gregory of Rimin"
"Mark Wrathall";"Hubert Dreyf"
"Xen";"S"
"Akira Suzuki (chemist)";"Herbert C. Brown"
"Al-Birun";"Abu Nasr Man"
"Al-Hallaj";"Bayazid Bastam"
"Alain Tourain";"Charles Taylor (philosopher)"
"Alain de Ben";"Carl Schm"
"Alan Kay";"Douglas Engel"
"Alan W";"Carl Jun"
"Alan W";"Laoz"
"Albert Einstein";"Gunnar Nordström"
"Albert Einstein";"Henri Poincaré"
"Albert Jay Nock";"Henry G"
"Alberto Edw";"Gustave Le Bon"
"Albertus Magn";"Herman of Carin"
"Alcino J. Silv";"Susumu Tonegaw"
"Aldous Huxley";"Henri Bergson"
"Alenka Zupančič";"Slavoj Žižek"
"Aletta Norval";"Mark Bev"
"Alex Callin";"Chris Harman"
"Alexander Gottlieb Baumgarten";"Christian Wolff (philosopher)"
"Alexandre Koyré";"Léon Brunschv"
"Alexey Okladnikov";"Helena R"
"Alexis T";"Slavoj Žižek"
"Alfred Korzybsk";"Charles Sanders P"
"Alfred Marshall";"Henry Sidgwick"
"Alfred North W";"Gustav Fechn"
"Alfred North W";"Henri Bergson"
"Alfred Schütz";"Henri Bergson"
"Alfred Tarsk";"Charles Sanders P"
"Arthur Brisban";"Henry G"
"Arthur Cecil P";"Henry Sidgwick"
