"influences";"influenced"
"Tom Beaucham";"W. D. R"
"Ivan Soll";"Walter Kaufmann (philosopher)"
"James Franklin (philosopher)";"David Stov"
"Marcantonio Zim";"Av"
"A. E. van V";"Alfred Korzybsk"
"A. J. Ay";"David Hum"
"Nikolai Berdyaev";"Vladimir Solovyov (philosopher)"
"Nikolai Trubetzkoy";"August Leskien"
"Nikolai Vavilov";"Alphonse Pyramus de Candoll"
"Nikolas Kom";"Akeel Bilgram"
"Noam Chomsky";"David Hum"
"Norbert Wien";"W. Ross Ashby"
"Norberto B";"Vilfredo P"
"Nur ad-Din al-Bitruj";"Avem"
"Nur ad-Din al-Bitruj";"Av"
"Gualtiero Piccinin";"David Chalm"
"Herb G";"Wallace John Eck"
"Ranulph Glanvill";"Heinz von F"
"Hovhannes Im";"Anania Shirak"
"Johann Friedrich Horn";"Albrecht von Graef"
"Thomas Hurk";"Derek Parf"
"Jacques Lefèvre d'Étapl";"John Argyropoul"
"John Lemmon";"Arthur P"
"John Lighton Syn";"Alfred North W"
"Pierre Laff";"Auguste Com"
"Richard L";"Albrecht von Graef"
"Richard Hönigswal";"Alexius Meinon"
"Matthew of Aq";"Walter of B"
"Claude Lévi-S";"Alfred Radcliffe-Brown"
"Cliff Jones (computer scientist)";"Dines Bjørn"
"Clitomachus (philosopher)";"Arcesil"
"Clive Gran";"David Forbes Hendry"
"Colin Maclaurin";"David Gregory (mathematician)"
"John Lock";"Damaris Cudworth Masham"
"John Maynard Keyn";"David Hum"
"John Maynard Keyn";"Vilfredo P"
"John Maynard Keyn";"Alfred Marshall"
"John Maynard Keyn";"Arthur Cecil P"
"John M";"Alexander von Humbol"
"John Perry (philosopher)";"David Kaplan (philosopher)"
"John Ray";"Andrea Cesalpin"
"John Stewart Bell";"David Bohm"
"John Stuart Mill";"David Hum"
"John Stuart Mill";"Alexander Bain (philosopher)"
"John Stuart Mill";"Auguste Com"
"Jon El";"Alexander Zinoviev"
"Jonathan Bowen";"Dines Bjørn"
"Jonathan H";"David Sloan Wilson"
"Jordan Howard Sobel";"David Hum"
"Jorge Luis B";"David Hum"
"Jorge Luis B";"Arthur Schopen"
"Joris-Karl Huysman";"Arthur Schopen"
"Joseph Black";"Andrew Plumm"
"Joseph Campbell";"Arthur Schopen"
"Joseph Priestley";"David Hartley (philosopher)"
"Joseph Stalin";"Alexander Herzen"
"Jovan Cvijić";"Albrecht Penck"
"Juan José Aréval";"Alejandro Korn"
"Jules Simon";"Victor Cousin"
"Jules Vuillemin";"Alfred North W"
"Julia Az";"David R. Mayhew"
"Santiago Ramón y Cajal";"Aureliano Maestre de San Juan"
"Sarah Orban";"David R. Mayhew"
"Sarah Teichmann";"Veronica van Heyningen"
"Scott Atran";"Dan S"
"Scylax of Caryan";"Anaximenes of Mil"
"Sean Tren";"David R. Mayhew"
"Semyon Frank";"Vladimir Solovyov (philosopher)"
"Seraphim R";"Alan W"
"Serge Moscov";"Daniel L"
"Sergei Bulgakov";"Vladimir Solovyov (philosopher)"
"Sergey Kravkov (agronomist)";"Vasily Dokuchaev"
"Sergio Rodríguez López-R";"Artur Juncosa Carbonell"
"F. S. C. N";"Alfred North W"
"Gideon Rosen";"David Lewis (philosopher)"
"Samuel ibn Tibbon";"Av"
"Rafael La P";"Andrei Shleif"
"Stephen Yabl";"Ken Gem"
"William J. R";"Alexius Meinon"
"John Philopon";"Ammonius Herm"
"B. F. Skinn";"Alfred North W"
"Baron d'Hol";"Denis D"
"Baruch Spinoz";"Dem"
"Andy Merrifiel";"David Harvey"
"Iphigenia Photak";"Vincent du Vign"
"Irving Kahn";"Benjamin Graham"
"Isaac Israeli ben Solomon";"Al-Kin"
"Isaac Todhun";"Augustus De Morgan"
"Isaiah Berlin";"Alexander Herzen"
"J. L. Mack";"David Hum"
"J. P. Morelan";"Alvin Plantin"
"J. R. Partington";"Walther Nern"
"Miskaway";"Al-Jahiz"
"Miskaway";"Al-Kin"
"Mladen Dol";"Alenka Zupančič"
"Mohammad Baba As-Sam";"Ali Ramitan"
"Monica Furlon";"Alan W"
"Monica Riley";"Arthur P"
"Moritz Schlick";"Arthur Schopen"
"Mortimer Wheel";"Augustus Pitt Riv"
"Moses H";"August Cieszkowsk"
"Muneeb-ur-Rehman";"Syed Shujaat Ali Q"
"Murray Bookchin";"Hans Jon"
"Murray R";"Benjamin Tuck"
"Mustafa Kemal Atatürk";"Auguste Com"
"Nader El-Biz";"Alexandre Koyré"
"Nancy Cartwright (philosopher)";"Arthur Fin"
"Nancy Fol";"Amartya Sen"
"Nancy F";"Axel Honn"
"Nathan Salmon";"David Kaplan (philosopher)"
"Chester Barn";"Vilfredo P"
"Chungliang Al Huan";"Alan W"
"Tony Atkinson";"Amartya Sen"
"Torkel Weis-F";"August K"
"Turi Kin";"Alec Jeffrey"
"Tyler B";"David Chalm"
"Ernst von Glasersfel";"Heinz von F"
"Johann Georg Sulz";"Alexander Gottlieb Baumgarten"
"Paul Jan";"Victor Cousin"
"Rahel J";"Axel Honn"
"Józef Krem";"August Cieszkowsk"
"Martti Koskenniem";"David Kennedy (jurist)"
"Panagiotis Kondyl";"Dieter Hen"
"Prochoros Kydon";"Demetrios Kydon"
"Robert C. Koon";"Alvin Plantin"
"Robert C. Koon";"Alexander P"
"Johann Reuchlin";"John Argyropoul"
"Johannes Al";"Andrzej Frycz Modrzewsk"
"Johannes Volkel";"Arthur Schopen"
"John A. Lucy";"Benjamin Lee Whorf"
"Abdel Rahman Badaw";"Alexandre Koyré"
"Abdus Salam";"Benjamin W. L"
"Abraham Robinson";"Wanda Szmielew"
"Abu Bakr al-Raz";"Ali ibn Sahl Rabban al-T"
"Abu Ma'shar al-Balk";"Al-Kin"
"Abu Zayd al-Balk";"Al-Kin"
"Adam Sm";"David Hum"
"Adam Sm";"Bernard Mandevill"
"Adolphe Franck";"Victor Cousin"
"Adriaan Blaauw";"Viktor Ambartsumian"
"Afanasy F";"Arthur Schopen"
"C. D. B";"Alfred North W"
"C. H. Dougl";"Vilfredo P"
"C. H. Waddington";"Alfred North W"
"Catherine Clémen";"Vladimir Jankélév"
"Charak";"Dinesh Kumar Man"
"Charles A. Doswell III";"Alan Moll"
"Charles Darwin";"Alexander Herzen"
"Charles Darwin";"Alexander von Humbol"
"Charles Darwin";"Arthur Schopen"
"Charles Darwin";"Auguste Com"
"Charles Darwin";"Augustin Pyramus de Candoll"
"Charles F";"Victor Prosper Consideran"
"Charles Kay Ogden";"Victoria, Lady Welby"
"Charles L. Evan";"Bennett McCallum"
"Charles M";"Auguste Com"
